IG120-P1	 -41.187 -22.3297 -82.0744  40.5386  113.627 -16.0914  -4.4856  8.60638  -14.223 -95.5247 -2.44343 0.448042  1.27186 -3.18536 -2.22337 -12.4464  -1.7312 -4.46571  4.04926 -3.43421
IG121-P1	  -56.942  -11.5755  -93.1272   49.3198    111.13   10.0885   1.36222   6.71219   4.54874   -72.816   3.81653   1.26047  -17.8303     16.03   5.36108  -4.04213 0.0650842  -6.23629  -6.90542  -11.3614
IG122-P1	  -41.722  -28.0778  -70.3813   37.4123   106.991  -12.7271  -2.73157   7.56291  -7.39061  -85.0957  -0.99926   4.68605 -0.474854  -2.48617 0.0391868  -2.74281  -13.1341  -3.64185   11.1921   4.32958
IG123-P1	 -68.5591 -0.255679   -116.93   69.3335   97.1494  -17.3426   4.01592 -0.242649  -9.43292  -103.968  -12.2737  -2.13928  -21.6649  -8.74087  -4.21536  -26.9437  -5.41992  -11.0132   10.5503  -4.26546
IG124-P1	-31.4702 -30.2265 -69.3194  28.2085  111.735 -3.58822  3.11498  10.2842 -12.2975 -121.573 -11.2808  3.06009 -16.2991 -13.3015 0.926798 -5.74453  15.1157 -19.5254 0.879507 -4.75584
IG125-P1	-69.9831  -14.312 -89.6952  48.9978  88.3223 -14.5633  2.68019  10.8718 -14.7888 -120.973   -8.696 -8.54711 -15.9747 -11.9021  5.42136  1.42084  9.59037  5.97101 -14.9618  6.46605
IG126-P1	 -68.0475  -16.9554  -99.1013   52.4073   106.923   16.8665  -2.97805    7.1513  0.652933  -95.8835  -3.57897  -4.94551  -10.7962   17.6961    4.8865   2.22003   16.1819 -0.032028  -3.40051   13.6072
IG127-P1	-61.6844 -26.7821 -90.3566  43.6158  104.089  13.5465 -6.37806  20.0275   1.2731 -98.6752 -4.77597  4.75184 -5.57419 -17.2209 -2.46548   8.7971 -19.1176 -11.4346  9.24871  -10.217
IG128-P1	 -66.3468  -14.0067  -95.5871   52.9153   105.615  -30.6359   2.99323  -7.76095  -14.4947  -100.224  -4.97345  -25.3176  -12.1922   4.04324  -3.85574  -1.47095 -0.880432  -12.3492   7.69812  -5.45606
IG129-P1	 -72.1964  -17.7307  -104.683    53.425   123.672   17.0107  0.520049   7.38993    1.0634  -107.497   3.95801 -0.993975  -9.90214   22.1634   2.53927    2.1679   3.45884 -0.937746 -0.290001    8.4506
IG130-P1	 -71.1448  -16.3053  -97.4009   52.6193   106.173  -28.8561   2.58779  -3.85608  -15.4806  -113.931   -3.7786  -31.6105  -16.6831 -0.218231  -2.29979 -0.538236  -8.71612  -7.62155   6.25388  -6.70375
IG138-P1	  16.2467    -33.66  -33.5998   6.50547   69.1874  -14.7899 -0.674559   9.95126  -18.2749  -66.2887  -4.66029  -1.66763  -7.28949   3.56047   10.6181  -5.59672  -6.87428   10.8929  -13.4927    13.042
HG00096	-84.0566 -138.392 -6.24536 -56.5014 -5.96235  22.1396 -1.90385 -2.91833  6.72027  1.18552  7.49872  -10.447 -15.6308 -8.93011  7.58293   4.0855  12.4951  13.2798 -20.8558  13.5854
HG00097	-83.5611 -142.494 0.631656 -65.0514  -3.8931 -42.0205  18.8631  -22.259 -27.4074 0.273079  5.99781 -62.3278 -37.5255 -3.39277 -3.16233  1.09597  -5.2863  10.5237  13.2583  3.07464
HG00099	-87.0606 -134.043 -6.85393 -50.0598 -3.27667  19.2912 0.504278 -1.36205  15.6016 -3.39333  5.76553 -16.7863 -22.1345 -38.9954 -6.48736  10.1413  20.2113  14.6164 -14.3751  15.0321
HG00100	  -83.66 -146.421 -7.47953 -55.0904  1.05802  24.1866  1.65914 -2.26687  13.5561  2.81174  4.93847 -13.7099 -19.9493 -8.56645  1.91293   10.298  39.8232  29.8843 -15.7186  21.7845
